id,name,party,partyLabel,votes,election,electionLabel,ranking
Q3443398,Roundell Palmer,Q9626,Unionist Party (UK),8755,Q3042701,1918,1
,Harry Ainger,Q622441,Liberal Party (UK),3342,Q3042701,1918,2
Q3443398,Roundell Palmer,Q9626,Unionist Party (UK),10952,Q3084303,1922 general election,1
,Harry Ainger,Q622441,Liberal Party (UK),5296,Q3084303,1922 general election,2
Q3443398,Roundell Palmer,Q9626,Unionist Party (UK),9131,Q3084294,1923 general election,1
Q4723489,Alfred Suenson-Taylor,Q622441,Liberal Party (UK),6315,Q3084294,1923 general election,2
Q3443398,Roundell Palmer,Q9626,Unionist Party (UK),14081,Q2632991,1924 general election,1
Q5927150,Hubert Beaumont,Q9630,Labour Party (UK),4313,Q2632991,1924 general election,2
Q3443398,Roundell Palmer,Q9626,Unionist Party (UK),15123,Q517639,1929 general election,1
,Henry Fabian Orpen,Q622441,Liberal Party (UK),5984,Q517639,1929 general election,2
,J.R. McPhie,Q9630,Labour Party (UK),4389,Q517639,1929 general election,3
Q3443398,Roundell Palmer,Q9626,Conservative Party (UK),22134,Q918375,1931 general election,1
Q2482677,Mary Richardson,Q9630,Labour Party (UK),4091,Q918375,1931 general election,2
Q3443398,Roundell Palmer,Q9626,Conservative Party (UK),17730,Q918378,1935 general election,1
Q15989817,Gerald Bailey,Q16985931,Independent Progressive,6421,Q918378,1935 general election,2
Q2892622,Oliver Lyttelton,Q9626,Conservative Party (UK),19456,Q918397,1945 general election,1
Q3362434,Tom Wintringham,Q5153505,Common Wealth Party,14435,Q918397,1945 general election,2
Q2892622,Oliver Lyttelton,Q9626,Conservative Party (UK),21238,Q748667,1950 general election,1
,NF Hidden,Q9630,Labour Party (UK),15066,Q748667,1950 general election,2
,John Henry Gooden,Q622441,Liberal Party (UK),4355,Q748667,1950 general election,3
Q2892622,Oliver Lyttelton,Q9626,Conservative Party (UK),24951,Q3722280,1951 general election,1
,Robert N Hales,Q9630,Labour Party (UK),16402,Q3722280,1951 general election,2
Q7526647,Eric Errington,Q9626,Conservative Party (UK),19108,Q17985468,1954 Aldershot by-election,1
,William Cuthbertson,Q9630,Labour Party (UK),12701,Q17985468,1954 Aldershot by-election,2
Q7526647,Eric Errington,Q9626,Conservative Party (UK),19108,Q17985468,1954 Aldershot by-election,1
,William Cuthbertson,Q9630,Labour Party (UK),12701,Q17985468,1954 Aldershot by-election,2
Q7526647,Eric Errington,Q9626,Conservative Party (UK),22701,Q918412,1955 general election,1
,Julian D Richards,Q9630,Labour Party (UK),13129,Q918412,1955 general election,2
